class,rms_ratio,peak_to_peak,rule_assigns
Flicker,1.0494251,2.1013882,Pure_Sinusoidal
Flicker_with_Sag,0.8010577,1.7351092,Sag
Flicker_with_Swell,1.3294501,2.769765,Swell
Harmonics,1.0160047,2.235936,Pure_Sinusoidal
Harmonics_with_Sag,0.76722026,1.7411116,Sag
Harmonics_with_Swell,1.2951977,2.849868,Swell
Interruption,0.599594,1.2583196,Sag
Notch,0.9748039,1.9988215,Pure_Sinusoidal
Oscillatory_Transient,1.0304637,2.3464031,Pure_Sinusoidal
Pure_Sinusoidal,1.0,2.0,Pure_Sinusoidal
Sag,0.744777,1.5619256,Sag
Sag_with_Harmonics,0.76103,1.6600134,Sag
Sag_with_Oscillatory_Transient,0.8077986,1.8905859,Sag
Swell,1.2813306,2.6184747,Swell
Swell_with_Harmonics,1.268676,2.6471615,Swell
Swell_with_Oscillatory_Transient,1.303816,3.015692,Swell
Transient,1.0001849,2.0159233,Pure_Sinusoidal
