class,is_compound,Threshold,SVM,Random Forest,CNN
Flicker,False,0.0,0.9280742459396751,0.9975062344139651,0.9851485148514851
Flicker_with_Sag,True,0.0,0.6567164179104478,0.8317307692307693,0.94
Flicker_with_Swell,True,0.0,0.6119733924611973,0.8097560975609757,0.9702970297029703
Harmonics,False,0.0,0.9391727493917275,1.0,0.9925558312655087
Harmonics_with_Sag,True,0.0,0.6149425287356322,0.7903225806451613,0.9720101781170484
Harmonics_with_Swell,True,0.0,0.62,0.7665847665847666,0.9875311720698254
Interruption,False,0.04878048780487805,0.9679012345679012,0.9900990099009901,0.9900990099009901
Notch,False,0.0,0.9118387909319899,0.9444444444444444,0.9585492227979274
Oscillatory_Transient,False,0.0,0.8759894459102903,0.9108910891089109,0.8796068796068796
Pure_Sinusoidal,False,0.2318840579710145,0.8298755186721992,0.9975062344139651,0.9876543209876543
Sag,False,0.2951653944020356,0.6931106471816284,0.9849246231155779,0.9797979797979798
Sag_with_Harmonics,True,0.0,0.7039106145251397,0.9043062200956937,0.925
Sag_with_Oscillatory_Transient,True,0.0,0.9021739130434783,0.9190600522193212,0.93717277486911
Swell,False,0.29514207149404215,0.628175519630485,0.9974937343358395,0.99
Swell_with_Harmonics,True,0.0,0.517799352750809,0.7821782178217822,0.9468354430379747
Swell_with_Oscillatory_Transient,True,0.0,0.8681318681318682,0.8812664907651715,0.9326424870466321
Transient,False,0.0,0.762402088772846,0.9509803921568627,0.9170506912442397
